time,temp
43565.52279,21.16
43565.52298,18.88
43565.5234,27.44
43565.52384,19.37
43565.52441,31
43565.52634,21.2
43565.52652,19
43565.52696,27.51
43565.52735,19.5
43565.52803,31.08
43565.5299,21.22
43565.53004,19.07
43565.5305,27.62
43565.53087,19.58
43565.53161,31.13
43565.53344,21.24
43565.53356,19.14
43565.53407,27.63
43565.53439,19.66
43565.53522,31.15
43565.53698,21.25
43565.5371,19.19
43565.53763,27.48
43565.53793,19.75
43565.53881,30.84
43565.54053,21.19
43565.54062,19.2
43565.5412,27.31
43565.54145,19.72
43565.5424,30.76
43565.54407,21.11
43565.54414,19.14
43565.54476,27.25
43565.54497,19.64
43565.54601,30.58
43565.54763,21.05
43565.54768,19.12
43565.5483,27.03
43565.54849,19.59
43565.5496,30.05
43565.55117,21.04
43565.5512,19.18
43565.55187,26.86
43565.55201,19.64
43565.55319,29.6
43565.55472,21.06
43565.55472,19.25
43565.55543,26.76
43565.55553,19.7
43565.5568,29.32
43565.55826,19.25
43565.55828,21.06
43565.55898,26.68
43565.55904,19.71
43565.56039,29.15
43565.56178,19.29
43565.5618,21.07
43565.56254,26.65
43565.56256,19.74
43565.56398,29.06
43565.56532,19.34
43565.56536,21.07
43565.5661,26.65
43565.56611,19.8
43565.56759,29.07
43565.56884,19.35
43565.56891,21.09
43565.56962,19.79
43565.56967,26.66
43565.57117,29.14
43565.57235,19.39
43565.57245,21.1
43565.57314,19.8
43565.57321,26.47
43565.57476,29.36
43565.57548,19.5
43565.57567,19.5
43565.57578,19.5
43565.57585,19.5
43565.5759,19.49
43565.57599,21.14
43565.57606,19.5
43565.57615,19.5
43565.57627,19.5
43565.57636,19.5
43565.5765,19.5
43565.57664,19.5
43565.57666,19.9
43565.57666,19.5
43565.57678,26.91
43565.57689,19.5
43565.57694,19.5
43565.57696,20
43565.57701,19.5
43565.57705,20
43565.57708,19.5
43565.57715,20
43565.57719,19.5
43565.57724,19.5
43565.57731,19.5
43565.57731,19.5
43565.57733,19.5
43565.57736,19.5
43565.57738,20
43565.57745,20
43565.57759,19.5
43565.57768,19.5
43565.5777,20
43565.5777,19.5
43565.57773,20
43565.57775,20
43565.57779,20
43565.57786,19.5
43565.57794,20
43565.57798,19.5
43565.578,20
43565.57803,19.5
43565.5781,20
43565.57812,19.5
43565.57828,20
43565.57837,30.04
43565.5784,20
43565.57842,20
43565.57844,20
43565.57847,20
43565.57847,19.5
43565.57858,20
43565.57863,20
43565.5787,20
43565.57877,20
43565.57879,20
43565.57881,20
43565.57891,20
43565.57909,20
43565.57912,20
43565.57914,20
43565.57916,20
43565.57928,20
43565.57942,19.58
43565.57946,20
43565.57949,20
43565.57951,20
43565.57951,20
43565.57951,20
43565.57953,21.18
43565.5796,20
43565.5796,20
43565.57972,20.17
43565.57974,20.18
43565.57974,20.14
43565.57976,20.14
43565.57979,20
43565.57979,20
43565.57981,20.11
43565.57986,20
43565.57992,20
43565.57995,20
43565.58011,20
43565.58013,20
43565.58018,20
43565.5802,20
43565.58027,20
43565.58027,20
43565.58034,27.23
43565.58046,20
43565.58048,20
43565.58057,20
43565.5806,20
43565.58067,20
43565.58083,20
